id,type,spread_winner,fetch_date,trump_value,harris_value,spread_value
7386,rcp_average,Trump,2024-02-21,49.3,42.7,6.6
7386,rcp_average,Trump,2024-02-24,49.3,42.7,6.6
7386,rcp_average,Trump,2024-03-12,49.3,42.7,6.6
7386,rcp_average,Trump,2024-04-20,49.3,42.7,6.6
7386,rcp_average,Trump,2024-05-15,49.3,42.7,6.6
7386,rcp_average,Trump,2024-06-28,49.3,42.7,6.6
7386,rcp_average,Trump,2024-06-29,49.3,42.7,6.6
7386,rcp_average,Trump,2024-06-30,49.3,42.7,6.6
7386,rcp_average,Trump,2024-07-02,46.0,44.0,2.0
7386,rcp_average,Trump,2024-07-03,46.0,44.0,2.0
7386,rcp_average,Trump,2024-07-04,46.0,44.0,2.0
7386,rcp_average,Trump,2024-07-09,46.0,44.0,2.0
7386,rcp_average,Trump,2024-07-11,47.8,45.2,2.6
7386,rcp_average,Trump,2024-07-13,48.0,45.9,2.1
7386,rcp_average,Trump,2024-07-14,48.0,45.9,2.1
7386,rcp_average,Trump,2024-07-15,48.0,46.0,2.0
7386,rcp_average,Trump,2024-07-16,48.0,46.0,2.0
7386,rcp_average,Trump,2024-07-20,48.2,46.3,1.9
7386,rcp_average,Trump,2024-07-21,48.2,46.3,1.9
7386,rcp_average,Trump,2024-07-22,48.2,46.2,2.0
7386,rcp_average,Trump,2024-07-23,47.5,45.9,1.6
7386,rcp_average,Trump,2024-07-24,47.5,45.9,1.6
7386,rcp_average,Trump,2024-07-25,47.9,46.0,1.9
7386,rcp_average,Trump,2024-07-26,47.9,46.2,1.7
7386,rcp_average,Trump,2024-07-27,47.9,46.2,1.7
7386,rcp_average,Trump,2024-07-28,47.9,46.2,1.7
7386,rcp_average,Trump,2024-07-29,47.9,46.2,1.7
7386,rcp_average,Trump,2024-07-30,47.9,46.2,1.7
7386,rcp_average,Trump,2024-07-31,47.9,46.2,1.7
7386,rcp_average,Trump,2024-08-01,47.7,46.5,1.2
7386,rcp_average,Trump,2024-08-02,47.7,46.5,1.2
7386,rcp_average,Trump,2024-08-03,47.7,46.5,1.2
7386,rcp_average,Trump,2024-08-04,47.7,46.5,1.2
7386,rcp_average,Trump,2024-08-05,47.7,46.9,0.8
7386,rcp_average,Harris,2024-08-06,46.8,47.0,0.2
7386,rcp_average,Harris,2024-08-07,46.9,47.4,0.5
7386,rcp_average,Harris,2024-08-08,47.1,47.6,0.5
7386,rcp_average,Harris,2024-08-09,47.1,47.6,0.5
7386,rcp_average,Harris,2024-08-10,47.1,47.6,0.5
7386,rcp_average,Harris,2024-08-11,47.1,47.6,0.5
7386,rcp_average,Harris,2024-08-12,47.1,47.5,0.4
7386,rcp_average,Harris,2024-08-13,46.7,47.8,1.1
7386,rcp_average,Harris,2024-08-14,46.7,47.8,1.1
7386,rcp_average,Harris,2024-08-15,47.1,48.1,1.0
7386,rcp_average,Harris,2024-08-16,46.9,47.9,1.0
7386,rcp_average,Harris,2024-08-17,46.9,47.9,1.0
7386,rcp_average,Harris,2024-08-18,46.7,48.1,1.4
7386,rcp_average,Harris,2024-08-19,46.7,48.2,1.5
7386,rcp_average,Harris,2024-08-20,46.7,48.2,1.5
7386,rcp_average,Harris,2024-08-21,46.7,48.2,1.5
