id,type,pollster,date,sampleSize,marginError,link,spread_winner,spread_value,harris_value,trump_value,name,slug,polling_start_date,polling_end_date
147486,poll_rcp_avg,Susquehanna,9/16 - 9/22,700 LV,3.7,https://mcusercontent.com/fadb7f1420fadfe09cc9d0f9c/files/a5dbf8d6-8ad8-c97f-7e78-5c75cbd98c8f/Toplines_PAStatewide_Omnibus_SP_amp_R_LaTorre_Sept2024.pdf,Tie,0.0,46,46,2024 Pennsylvania: Trump vs. Harris,pennsylvania,2024-09-16,2024-09-22
147463,poll_rcp_avg,Muhlenberg College,9/16 - 9/19,450 LV,6.0,https://www.muhlenberg.edu/media/contentassets/pdf/about/polling/PA_Elec_Sep24_FinalVersion.pdf,Tie,0.0,48,48,2024 Pennsylvania: Trump vs. Harris,pennsylvania,2024-09-16,2024-09-19
147434,poll_rcp_avg,Rasmussen Reports,9/19 - 9/22,1202 LV,3.0,https://www.rasmussenreports.com/public_content/politics/partner_surveys/election_2024_trump_3_in_georgia_tied_with_harris_in_pennsylvania,Tie,0.0,48,48,2024 Pennsylvania: Trump vs. Harris,pennsylvania,2024-09-19,2024-09-22
147323,poll_rcp_avg,The Hill/Emerson,9/15 - 9/18,880 LV,3.2,https://emersoncollegepolling.com/september-2024-swing-state-polls-trump-and-harris-locked-in-tight-presidential-race/,Trump,1.0,47,48,2024 Pennsylvania: Trump vs. Harris,pennsylvania,2024-09-15,2024-09-18
147339,poll_rcp_avg,Marist,9/12 - 9/17,1476 LV,3.2,https://maristpoll.marist.edu/polls/marist-pennsylvania-poll-u-s-presidential-contest-pennsylvania-september-2024/,Tie,0.0,49,49,2024 Pennsylvania: Trump vs. Harris,pennsylvania,2024-09-12,2024-09-17
147226,poll_rcp_avg,InsiderAdvantage,9/14 - 9/15,800 LV,3.5,https://insideradvantage.com/pennsylvania-survey-trump-leads-50-48-casey-ahead-of-mccormick-by-four-points/,Trump,2.0,48,50,2024 Pennsylvania: Trump vs. Harris,pennsylvania,2024-09-14,2024-09-15
147335,poll_rcp_avg,Washington Post,9/12 - 9/16,1003 LV,3.6,https://docs.google.com/spreadsheets/d/1KPeCsOeax90_d8QMwtXz_l7ZveO-WavIoLnoinob7u4/edit?gid=0#gid=0,Tie,0.0,48,48,2024 Pennsylvania: Trump vs. Harris,pennsylvania,2024-09-12,2024-09-16
147299,poll_rcp_avg,Quinnipiac,9/12 - 9/16,1331 LV,2.7,https://poll.qu.edu/images/polling/mi/mi09182024_swmf64.pdf,Harris,5.0,51,46,2024 Pennsylvania: Trump vs. Harris,pennsylvania,2024-09-12,2024-09-16
147337,poll_rcp_avg,NY Times/Siena,9/11 - 9/16,1082 LV,3.8,https://www.nytimes.com/interactive/2024/09/19/us/politics/times-siena-inquirer-poll-pennsylvania-likely-electorate.html,Harris,4.0,50,46,2024 Pennsylvania: Trump vs. Harris,pennsylvania,2024-09-11,2024-09-16
147344,poll,Franklin &amp; Marshall,9/4 - 9/15,890 RV,4.1,https://www.realclearpolitics.com/docs/2024/F-MPollSEP24_topline.pdf,Harris,3.0,49,46,2024 Pennsylvania: Trump vs. Harris,pennsylvania,2024-09-04,2024-09-15
