id,type,pollster,date,sampleSize,marginError,link,spread_winner,spread_value,trump_value,harris_value,name,slug,polling_start_date,polling_end_date
147855,poll_rcp_avg,Trafalgar Group (R),10/7 - 10/8,1089 LV,2.9,https://www.thetrafalgargroup.org/wp-content/uploads/2024/10/GA-24-General-1009_Report.pdf,Trump,1.0,46,45,2024 Georgia: Trump vs. Harris,georgia,2024-10-07,2024-10-08
147632,poll_rcp_avg,InsiderAdvantage,9/29 - 9/30,800 LV,3.0,https://insideradvantage.com/insideradvantage-sunbelt-battleground-surveys-trump-enjoys-slim-lead-in-arizona-nevada-and-north-carolina-georgia-tied/,Tie,0.0,48,48,2024 Georgia: Trump vs. Harris,georgia,2024-09-29,2024-09-30
147657,poll_rcp_avg,Quinnipiac,9/25 - 9/29,942 LV,3.2,https://poll.qu.edu/images/polling/ga/ga10012024_sxhq46.pdf,Trump,5.0,50,45,2024 Georgia: Trump vs. Harris,georgia,2024-09-25,2024-09-29
147849,poll,GSG/NSOR,9/23 - 9/29,400 LV,4.9,https://www.pgpf.org/sites/default/files/PGPF-Battleground-Poll-Topline-Results-by-State.pdf,Tie,0.0,47,47,2024 Georgia: Trump vs. Harris,georgia,2024-09-23,2024-09-29
147586,poll_rcp_avg,Atlas Intel,9/20 - 9/25,1200 LV,3.0,https://www.realclearpolitics.com/docs/2024/Atlas-Poll-US-Swing-States-Sept-24-Georgia.pdf,Trump,1.0,50,49,2024 Georgia: Trump vs. Harris,georgia,2024-09-20,2024-09-25
147492,poll_rcp_avg,CBS News,9/20 - 9/24,1441 LV,3.3,https://www.cbsnews.com/news/trump-harris-poll-georgia/,Trump,2.0,51,49,2024 Georgia: Trump vs. Harris,georgia,2024-09-20,2024-09-24
147517,poll_rcp_avg,FOX News,9/20 - 9/24,707 LV,3.5,https://www.foxnews.com/official-polls/fox-news-poll-voters-choice-flipped-arizona-since-last-month,Harris,3.0,48,51,2024 Georgia: Trump vs. Harris,georgia,2024-09-20,2024-09-24
147675,poll_rcp_avg,Cook Political Report,9/19 - 9/25,411 LV,0.0,https://www.cookpolitical.com/analysis/survey-research/2024-swing-state-project/swing-state-polling-finds-deadlocked-presidential,Trump,2.0,49,47,2024 Georgia: Trump vs. Harris,georgia,2024-09-19,2024-09-25
147522,poll_rcp_avg,Bloomberg,9/19 - 9/25,913 LV,3.0,https://www.bloomberg.com/news/features/2024-09-26/harris-holds-thin-lead-over-trump-in-swing-state-poll-election-2024,Tie,0.0,49,49,2024 Georgia: Trump vs. Harris,georgia,2024-09-19,2024-09-25
147496,poll_rcp_avg,Marist,9/19 - 9/24,1220 LV,3.9,https://maristpoll.marist.edu/polls/u-s-presidential-contest-georgia-september-2024/,Trump,1.0,50,49,2024 Georgia: Trump vs. Harris,georgia,2024-09-19,2024-09-24
147433,poll,Rasmussen Reports,9/19 - 9/22,1152 LV,3.0,https://www.rasmussenreports.com/public_content/politics/partner_surveys/election_2024_trump_3_in_georgia_tied_with_harris_in_pennsylvania,Trump,3.0,50,47,2024 Georgia: Trump vs. Harris,georgia,2024-09-19,2024-09-22
147416,poll,NY Times/Siena,9/17 - 9/21,682 LV,0.0,https://www.nytimes.com/interactive/2024/09/23/us/elections/times-siena-georgia-crosstabs.html,Trump,4.0,49,45,2024 Georgia: Trump vs. Harris,georgia,2024-09-17,2024-09-21
147391,poll,AmGreatness/TIPP,9/16 - 9/18,835 LV,3.5,https://amgreatness.com/2024/09/19/georgia-presidential-race-a-dead-heat-voters-doubt-authenticity-of-harris-media/,Tie,0.0,48,48,2024 Georgia: Trump vs. Harris,georgia,2024-09-16,2024-09-18
147318,poll,The Hill/Emerson,9/15 - 9/18,975 LV,3.1,https://emersoncollegepolling.com/september-2024-swing-state-polls-trump-and-harris-locked-in-tight-presidential-race/,Trump,3.0,50,47,2024 Georgia: Trump vs. Harris,georgia,2024-09-15,2024-09-18
